loadId,relationshipType,fromDrniId,toDrniId,p2Create,p2CreateActivity,p3Create,p3CreateActivity,p2Latest,p3Latest,latest,drniId,internalPurpose,internalCreate,internalCreateActivity,isEndOfConnection,segmentNumber,seq
1403,HAS_LOGICAL,100321,100345,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200403,,,,,,
1404,HAS_CONNECTION_COMPONENT,100346,100290,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200404,,,,TRUE,1,1
1405,HAS_CONNECTION_COMPONENT,100346,100294,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200405,,,,,1,2
1406,HAS_CONNECTION_COMPONENT,100346,100274,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200406,,,,,1,3
1407,HAS_CONNECTION_COMPONENT,100346,100339,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200407,,,,,1,4
1408,HAS_CONNECTION_COMPONENT,100346,100338,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200408,,,,,1,5
1409,HAS_CONNECTION_COMPONENT,100346,100264,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200409,,,,,1,6
1410,HAS_CONNECTION_COMPONENT,100346,100322,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200410,,,,,1,7
1411,HAS_CONNECTION_COMPONENT,100346,100323,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200411,,,,,1,8
1412,HAS_CONNECTION_COMPONENT,100346,100268,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200412,,,,,1,9
1413,HAS_CONNECTION_COMPONENT,100346,100326,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200413,,,,,1,10
1414,HAS_CONNECTION_COMPONENT,100346,100327,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200414,,,,,1,11
1415,HAS_CONNECTION_COMPONENT,100346,100265,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200415,,,,,1,12
1416,HAS_CONNECTION_COMPONENT,100346,100340,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200416,,,,,1,13
1417,HAS_CONNECTION_COMPONENT,100346,100341,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200417,,,,,1,14
1418,HAS_CONNECTION_COMPONENT,100346,100275,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200418,,,,,1,15
1419,HAS_CONNECTION_COMPONENT,100346,100295,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200419,,,,,1,16
1420,HAS_CONNECTION_COMPONENT,100346,100291,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200420,,,,TRUE,1,17
1421,HAS_CONNECTION_COMPONENT,100347,100292,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200421,,,,TRUE,1,1
1422,HAS_CONNECTION_COMPONENT,,100296,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200422,,,,,1,2
1423,HAS_CONNECTION_COMPONENT,,100276,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200423,,,,,1,3
1424,HAS_CONNECTION_COMPONENT,,100343,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200424,,,,,1,4
1425,HAS_CONNECTION_COMPONENT,,100342,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200425,,,,,1,5
1426,HAS_CONNECTION_COMPONENT,,100266,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200426,,,,,1,6
1427,HAS_CONNECTION_COMPONENT,,100332,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200427,,,,,1,7
1428,HAS_CONNECTION_COMPONENT,,100333,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200428,,,,,1,8
1429,HAS_CONNECTION_COMPONENT,,100273,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200429,,,,,1,9
1430,HAS_CONNECTION_COMPONENT,,100336,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200430,,,,,1,10
1431,HAS_CONNECTION_COMPONENT,,100337,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200431,,,,,1,11
1432,HAS_CONNECTION_COMPONENT,,100267,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200432,,,,,1,12
1433,HAS_CONNECTION_COMPONENT,,100344,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200433,,,,,1,13
1434,HAS_CONNECTION_COMPONENT,,100345,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200434,,,,,1,14
1435,HAS_CONNECTION_COMPONENT,,100277,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200435,,,,,1,15
1436,HAS_CONNECTION_COMPONENT,,100297,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200436,,,,,1,16
1437,HAS_CONNECTION_COMPONENT,,100293,1525176000,99999,1525176000,99999,TRUE,TRUE,2;3,200437,,,,TRUE,1,17
