loadId,relationshipType,fromDrniId,toDrniId,metadataPurpose,relationshipTypeList,p1CreateActivity,p1Latest,latest,primary,drniId,internalPurpose,internalCreate,internalCreateActivity,name
83,HAS,40003,40017,,,,TRUE,1,,50016,TRUE,TRUE,9999,
84,HAS,40003,40018,,,,TRUE,1,,50017,TRUE,TRUE,9999,
85,HAS,40003,40019,,,,TRUE,1,,50018,TRUE,TRUE,9999,
86,HAS,40003,40020,,,,TRUE,1,,50019,TRUE,TRUE,9999,
87,HAS,40003,40021,,,,TRUE,1,,50020,TRUE,TRUE,9999,
88,HAS,40003,40022,,,,TRUE,1,,50021,TRUE,TRUE,9999,
89,HAS,40003,40023,,,,TRUE,1,,50022,TRUE,TRUE,9999,
90,HAS,40004,40024,,,,TRUE,1,,50023,TRUE,TRUE,9999,
91,HAS,40024,40025,,,,TRUE,1,,50024,TRUE,TRUE,9999,
92,HAS,40005,40026,,,,TRUE,1,,50025,TRUE,TRUE,9999,
93,HAS,40026,40027,,,,TRUE,1,,50026,TRUE,TRUE,9999,
94,HAS,40006,40028,,,,TRUE,1,,50027,TRUE,TRUE,9999,
95,HAS,40028,40029,,,,TRUE,1,,50028,TRUE,TRUE,9999,
96,HAS,40007,40030,,,,TRUE,1,,50029,TRUE,TRUE,9999,
97,HAS,40030,40031,,,,TRUE,1,,50030,TRUE,TRUE,9999,
98,IS_COMPATIBLE,60000,60001,TRUE,HAS_CONNECTION_COMPONENT,9999,TRUE,1,,,,,,
99,IS_COMPATIBLE,60000,10005,TRUE,HAS_CONNECTION_COMPONENT,9999,TRUE,1,,,,,,
100,HAS_ARCHETYPE,70000,60000,TRUE,,9999,TRUE,1,TRUE,,,,,
101,HAS_ARCHETYPE,70001,60001,TRUE,,9999,TRUE,1,FALSE,,,,,
102,IS_COMPATIBLE,60002,60000,TRUE,HAS_CONNECTION_COMPONENT,9999,TRUE,1,,,,,,
